iter	Logloss
0	0.6603213257
1	0.6449582485
2	0.6357042464
3	0.6299474141
4	0.6253013971
5	0.6227788882
6	0.6214278793
7	0.6201838961
8	0.6193453063
9	0.618725871
10	0.6181782498
11	0.6178100704
12	0.6173650389
13	0.6171614246
14	0.6167275724
15	0.6164322974
16	0.6163088231
17	0.6160485229
18	0.615885082
19	0.6154786723
20	0.6153605515
21	0.6152623968
22	0.6151699967
23	0.6149497209
24	0.6148781158
25	0.614674147
26	0.6146358534
27	0.614464313
28	0.6143756661
29	0.6142900765
30	0.6141832055
31	0.6141126688
32	0.6140779484
33	0.6140057856
34	0.6139623778
35	0.6137353877
36	0.6136613047
37	0.6135483836
38	0.613534406
39	0.6134270084
40	0.6134012298
41	0.613379597
42	0.6132525074
43	0.6132282459
44	0.6131640818
45	0.6130907441
46	0.6130606987
47	0.6129955173
48	0.61295496
49	0.6129340893
50	0.6128901654
51	0.6128635157
52	0.6128488387
53	0.6127957344
54	0.6127577313
55	0.6127167402
56	0.6126803436
57	0.6126186904
58	0.6125913171
59	0.6125541854
60	0.6125360423
61	0.6124931788
62	0.6124679358
63	0.6123916425
64	0.6123617043
65	0.6122846765
66	0.6122422908
67	0.6122190346
68	0.6121868082
69	0.6121308091
70	0.6120817938
71	0.6120137602
72	0.6119588658
73	0.6119534497
74	0.6119317217
75	0.6119082812
76	0.6118589755
77	0.6118151726
78	0.6117949322
79	0.6117851139
80	0.6117673813
81	0.6117448424
82	0.6117253848
83	0.6116937775
84	0.6116672531
85	0.6116217735
86	0.6116111384
87	0.6115844893
88	0.611569432
89	0.6115595958
90	0.6115158489
91	0.6114909885
92	0.6114938784
93	0.611474609
94	0.6114404654
95	0.611435407
96	0.6114190451
97	0.6114026597
98	0.6113856717
99	0.6113678187
100	0.6113575469
101	0.6113555733
102	0.6113100871
103	0.6113156763
104	0.6112860567
105	0.6112637181
106	0.6112504031
107	0.6112352033
108	0.6112275237
109	0.6111904952
110	0.6111771121
111	0.6111794733
112	0.6111653685
113	0.6111569217
114	0.6111551469
115	0.6111208716
116	0.6111025516
117	0.6110964973
118	0.6110836727
119	0.6110743297
120	0.6110646829
121	0.6110433927
122	0.6110290883
123	0.6110261521
124	0.6110071678
125	0.6109920901
126	0.6109700575
127	0.610965959
128	0.6109466811
129	0.6109372549
130	0.6109229979
131	0.6108976732
132	0.6108776846
133	0.6108706909
134	0.6108591512
135	0.610855473
136	0.6108299901
137	0.610813301
138	0.6108122855
139	0.6107896014
140	0.6107836701
141	0.610774748
142	0.6107668731
143	0.6107511904
144	0.6107397261
145	0.6107286898
146	0.6107245465
147	0.6107133428
148	0.6107098119
149	0.6106928069
150	0.6106793869
151	0.6106646537
152	0.6106558405
153	0.6106468717
154	0.6106387319
155	0.6106234679
156	0.6106100381
157	0.6106003326
158	0.6105890991
159	0.6105807167
160	0.6105569222
161	0.6105432133
162	0.6105270514
163	0.6105125517
164	0.6105065541
165	0.6104949105
166	0.6104826921
167	0.6104748317
168	0.6104637115
169	0.6104604723
170	0.6104483737
171	0.6104332953
172	0.6104182355
173	0.6104018815
174	0.6103982394
175	0.6103868674
176	0.6103795565
177	0.6103691164
178	0.610365848
179	0.6103498393
180	0.6103297137
181	0.6103287718
182	0.6103189372
183	0.6103063165
184	0.6102886684
185	0.6102802794
186	0.6102628885
187	0.6102605364
188	0.6102526853
189	0.6102492577
190	0.6102477678
191	0.610234577
192	0.6102224419
193	0.6102119965
194	0.6102062843
195	0.6102000346
196	0.6101921468
197	0.6101793127
198	0.6101636688
199	0.6101520211
200	0.6101382143
201	0.6101321326
202	0.6101120034
203	0.6101097969
204	0.6100993855
205	0.6100859636
206	0.6100804787
207	0.610073113
208	0.6100627634
209	0.6100560207
210	0.6100497622
211	0.6100425077
212	0.6100380385
213	0.6100225408
214	0.6100231166
215	0.6100179656
